blinded_output_id,ontology,extraction_schema,mechanism_library,workflow_template,scoring_rubric,safety_routing_rules,query_bundle,openclaw_skill_wrapper,notes
SB-104,1,0,0,0,0,0,1,0,Stage B package dependence recorded only for accepted treatment outputs.
SB-231,1,0,1,0,0,0,1,0,Stage B package dependence recorded only for accepted treatment outputs.
SB-319,1,0,1,1,0,0,0,0,Stage B package dependence recorded only for accepted treatment outputs.
SB-441,0,0,0,0,0,0,0,0,Stage B package dependence recorded only for accepted treatment outputs.
